@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
191,10703,158,2866,1175,0.70923,0.985453,0.788783,0.985453,0.211217,0.876218,0.910549,1.082262,0.205967
192,10703,158,2865,1176,0.708983,0.985453,0.788841,0.985453,0.211159,0.876254,0.910482,1.082342,0.206
193,10700,161,2853,1188,0.706013,0.985176,0.789493,0.985176,0.210507,0.876546,0.909475,1.083236,0.208
194,10696,165,2844,1197,0.703786,0.984808,0.789956,0.984808,0.210044,0.876685,0.908603,1.083871,0.21
195,10693,168,2829,1212,0.700074,0.984532,0.790785,0.984532,0.209215,0.877086,0.907395,1.085009,0.212
196,10688,173,2816,1225,0.696857,0.984071,0.791469,0.984071,0.208531,0.877324,0.906187,1.085947,0.213595
197,10688,173,2815,1226,0.69661,0.984071,0.791528,0.984071,0.208472,0.87736,0.90612,1.086028,0.214
198,10685,176,2803,1238,0.69364,0.983795,0.792186,0.983795,0.207814,0.877654,0.905113,1.08693,0.216
199,10684,177,2793,1248,0.691166,0.983703,0.792758,0.983703,0.207242,0.877969,0.904375,1.087716,0.217
200,10684,177,2792,1249,0.690918,0.983703,0.792817,0.983703,0.207183,0.878005,0.904308,1.087796,0.218
201,10683,178,2785,1256,0.689186,0.983611,0.793214,0.983611,0.206786,0.878211,0.903771,1.088341,0.219
202,10682,179,2785,1256,0.689186,0.983519,0.793198,0.983519,0.206802,0.878165,0.903704,1.08832,0.219833
203,10682,179,2784,1257,0.688938,0.983519,0.793257,0.983519,0.206743,0.878201,0.903637,1.0884,0.22
204,10680,181,2770,1271,0.685474,0.983335,0.794052,0.983335,0.205948,0.878615,0.902563,1.089491,0.220167
205,10680,181,2769,1272,0.685226,0.983335,0.794111,0.983335,0.205889,0.878651,0.902496,1.089572,0.2204
206,10680,181,2768,1273,0.684979,0.983335,0.79417,0.983335,0.20583,0.878687,0.902429,1.089653,0.221
207,10680,181,2767,1274,0.684732,0.983335,0.794229,0.983335,0.205771,0.878723,0.902362,1.089734,0.222
208,10674,187,2754,1287,0.681514,0.982782,0.794906,0.982782,0.205094,0.878916,0.901087,1.090663,0.2232
209,10673,188,2754,1287,0.681514,0.98269,0.794891,0.98269,0.205109,0.87887,0.90102,1.090642,0.224
210,10673,188,2743,1298,0.678792,0.98269,0.795543,0.98269,0.204457,0.879268,0.900282,1.091536,0.226
211,10671,190,2730,1311,0.675575,0.982506,0.796284,0.982506,0.203716,0.879647,0.899275,1.092553,0.226333
212,10671,190,2729,1312,0.675328,0.982506,0.796343,0.982506,0.203657,0.879683,0.899208,1.092635,0.228
213,10668,193,2720,1321,0.673101,0.98223,0.796833,0.98223,0.203167,0.879871,0.898403,1.093307,0.23
214,10663,198,2710,1331,0.670626,0.98177,0.797353,0.98177,0.202647,0.880003,0.897396,1.09402,0.231
215,10663,198,2709,1332,0.670379,0.98177,0.797413,0.98177,0.202587,0.88004,0.897329,1.094102,0.232
216,10660,201,2702,1339,0.668646,0.981493,0.797785,0.981493,0.202215,0.880155,0.896658,1.094613,0.2325
217,10660,201,2701,1340,0.668399,0.981493,0.797844,0.981493,0.202156,0.880192,0.896591,1.094695,0.233
218,10660,201,2700,1341,0.668151,0.981493,0.797904,0.981493,0.202096,0.880228,0.896524,1.094777,0.234
219,10656,205,2693,1348,0.666419,0.981125,0.798262,0.981125,0.201738,0.880297,0.895786,1.095268,0.236
220,10655,206,2682,1359,0.663697,0.981033,0.798905,0.981033,0.201095,0.880651,0.894981,1.09615,0.237
221,10655,206,2681,1360,0.66345,0.981033,0.798965,0.981033,0.201035,0.880688,0.894913,1.096232,0.2375
222,10655,206,2680,1361,0.663202,0.981033,0.799025,0.981033,0.200975,0.880724,0.894846,1.096315,0.238
223,10648,213,2668,1373,0.660233,0.980389,0.79964,0.980389,0.20036,0.880837,0.893571,1.097158,0.239
224,10646,215,2668,1373,0.660233,0.980204,0.799609,0.980204,0.200391,0.880745,0.893437,1.097116,0.24
225,10646,215,2653,1388,0.656521,0.980204,0.800511,0.980204,0.199489,0.881291,0.892431,1.098354,0.240667
226,10645,216,2653,1388,0.656521,0.980112,0.800496,0.980112,0.199504,0.881245,0.892363,1.098333,0.242
227,10645,216,2646,1395,0.654788,0.980112,0.800918,0.980112,0.199082,0.8815,0.891894,1.098912,0.243
228,10645,216,2645,1396,0.654541,0.980112,0.800978,0.980112,0.199022,0.881537,0.891827,1.098994,0.244
229,10643,218,2632,1409,0.651324,0.979928,0.801733,0.979928,0.198267,0.881919,0.89082,1.100029,0.2442
230,10643,218,2631,1410,0.651076,0.979928,0.801793,0.979928,0.198207,0.881956,0.890753,1.100112,0.244833
231,10643,218,2630,1411,0.650829,0.979928,0.801853,0.979928,0.198147,0.881992,0.890686,1.100195,0.246
