@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
133,3894,147,6505,4356,0.598932,0.963623,0.374459,0.963623,0.625541,0.539335,0.697826,1.380893,0.040667
134,3894,147,6504,4357,0.59884,0.963623,0.374495,0.963623,0.625505,0.539373,0.697759,1.381026,0.040667
135,3894,147,6503,4358,0.598748,0.963623,0.374531,0.963623,0.625469,0.53941,0.697692,1.381159,0.0408
136,3894,147,6502,4359,0.598656,0.963623,0.374567,0.963623,0.625433,0.539447,0.697624,1.381292,0.040867
137,3894,147,6501,4360,0.598564,0.963623,0.374603,0.963623,0.625397,0.539485,0.697557,1.381425,0.041
138,3894,147,6500,4361,0.598472,0.963623,0.374639,0.963623,0.625361,0.539522,0.69749,1.381557,0.0413
139,3894,147,6499,4362,0.59838,0.963623,0.374675,0.963623,0.625325,0.539559,0.697423,1.38169,0.041333
140,3894,147,6498,4363,0.598287,0.963623,0.374711,0.963623,0.625289,0.539597,0.697356,1.381823,0.041833
141,3894,147,6497,4364,0.598195,0.963623,0.374747,0.963623,0.625253,0.539634,0.697289,1.381956,0.042
142,3884,157,6410,4451,0.590185,0.961148,0.377307,0.961148,0.622693,0.54189,0.69078,1.391396,0.0424
143,3883,158,6410,4451,0.590185,0.960901,0.377247,0.960901,0.622753,0.541789,0.690713,1.391173,0.0425
144,3883,158,6409,4452,0.590093,0.960901,0.377283,0.960901,0.622717,0.541827,0.690646,1.391308,0.042667
145,3883,158,6408,4453,0.590001,0.960901,0.37732,0.960901,0.62268,0.541864,0.690578,1.391443,0.0428
146,3883,158,6407,4454,0.589909,0.960901,0.377357,0.960901,0.622643,0.541902,0.690511,1.391579,0.044
147,3882,159,6331,4530,0.582911,0.960653,0.380104,0.960653,0.619896,0.544689,0.685344,1.401709,0.044333
148,3882,159,6330,4531,0.582819,0.960653,0.380141,0.960653,0.619859,0.544727,0.685277,1.401846,0.044333
149,3882,159,6329,4532,0.582727,0.960653,0.380178,0.960653,0.619822,0.544766,0.68521,1.401984,0.0444
150,3882,159,6328,4533,0.582635,0.960653,0.380215,0.960653,0.619785,0.544804,0.685143,1.402121,0.0445
151,3882,159,6327,4534,0.582543,0.960653,0.380253,0.960653,0.619747,0.544842,0.685076,1.402258,0.044667
152,3882,159,6325,4536,0.582359,0.960653,0.380327,0.960653,0.619673,0.544919,0.684942,1.402533,0.044667
153,3882,159,6324,4537,0.582267,0.960653,0.380364,0.960653,0.619636,0.544957,0.684875,1.402671,0.045095
154,3882,159,6323,4538,0.582175,0.960653,0.380402,0.960653,0.619598,0.544995,0.684807,1.402808,0.045143
155,3882,159,6322,4539,0.582083,0.960653,0.380439,0.960653,0.619561,0.545033,0.68474,1.402945,0.0452
156,3882,159,6321,4540,0.581991,0.960653,0.380476,0.960653,0.619524,0.545072,0.684673,1.403083,0.045333
157,3882,159,6320,4541,0.581899,0.960653,0.380514,0.960653,0.619486,0.54511,0.684606,1.40322,0.045333
158,3882,159,6319,4542,0.581806,0.960653,0.380551,0.960653,0.619449,0.545148,0.684539,1.403358,0.0455
159,3882,159,6318,4543,0.581714,0.960653,0.380588,0.960653,0.619412,0.545186,0.684472,1.403496,0.046
160,3876,165,6241,4620,0.574625,0.959169,0.383118,0.959169,0.616882,0.547535,0.678902,1.412823,0.046333
161,3876,165,6240,4621,0.574533,0.959169,0.383155,0.959169,0.616845,0.547574,0.678835,1.412963,0.047
162,3876,165,6238,4623,0.574349,0.959169,0.383231,0.959169,0.616769,0.547651,0.678701,1.413242,0.047033
163,3876,165,6237,4624,0.574257,0.959169,0.383269,0.959169,0.616731,0.54769,0.678634,1.413382,0.047533
164,3876,165,6236,4625,0.574164,0.959169,0.383307,0.959169,0.616693,0.547728,0.678567,1.413521,0.048
165,3872,169,6156,4705,0.566799,0.958179,0.386119,0.958179,0.613881,0.55043,0.67293,1.423891,0.0485
166,3872,169,6154,4707,0.566614,0.958179,0.386196,0.958179,0.613804,0.550508,0.672796,1.424175,0.049111
167,3871,170,6154,4707,0.566614,0.957931,0.386135,0.957931,0.613865,0.550405,0.672728,1.423949,0.049167
168,3871,170,6153,4708,0.566522,0.957931,0.386173,0.957931,0.613827,0.550444,0.672661,1.424091,0.049333
169,3871,170,6152,4709,0.56643,0.957931,0.386212,0.957931,0.613788,0.550484,0.672594,1.424233,0.05
170,3867,174,6072,4789,0.559065,0.956941,0.389073,0.956941,0.610927,0.553219,0.666957,1.434786,0.050167
171,3867,174,6071,4790,0.558972,0.956941,0.389112,0.956941,0.610888,0.553258,0.66689,1.434931,0.051
172,3867,174,6068,4793,0.558696,0.956941,0.38923,0.956941,0.61077,0.553377,0.666689,1.435364,0.051333
173,3867,174,6067,4794,0.558604,0.956941,0.389269,0.956941,0.610731,0.553417,0.666622,1.435508,0.052
174,3866,175,5991,4870,0.551607,0.956694,0.392209,0.956694,0.607791,0.556339,0.661455,1.446348,0.052667
175,3866,175,5990,4871,0.551515,0.956694,0.392248,0.956694,0.607752,0.556379,0.661388,1.446495,0.052667
176,3865,176,5990,4871,0.551515,0.956446,0.392187,0.956446,0.607813,0.556275,0.661321,1.446267,0.053
177,3865,176,5989,4872,0.551423,0.956446,0.392227,0.956446,0.607773,0.556315,0.661254,1.446414,0.0532
178,3865,176,5988,4873,0.55133,0.956446,0.392266,0.956446,0.607734,0.556355,0.661186,1.446561,0.053233
179,3865,176,5987,4874,0.551238,0.956446,0.392306,0.956446,0.607694,0.556395,0.661119,1.446708,0.0535
180,3865,176,5986,4875,0.551146,0.956446,0.392346,0.956446,0.607654,0.556435,0.661052,1.446855,0.0536
181,3865,176,5985,4876,0.551054,0.956446,0.392386,0.956446,0.607614,0.556475,0.660985,1.447001,0.054
182,3862,179,5922,4939,0.545254,0.955704,0.394726,0.955704,0.605274,0.558698,0.656556,1.455632,0.054167
183,3862,179,5921,4940,0.545162,0.955704,0.394766,0.955704,0.605234,0.558738,0.656489,1.455781,0.054833
184,3862,179,5920,4941,0.54507,0.955704,0.394807,0.955704,0.605193,0.558779,0.656422,1.455929,0.055333
185,3862,179,5919,4942,0.544977,0.955704,0.394847,0.955704,0.605153,0.558819,0.656355,1.456078,0.0555
186,3862,179,5918,4943,0.544885,0.955704,0.394888,0.955704,0.605112,0.55886,0.656288,1.456227,0.056
187,3856,185,5847,5014,0.538348,0.954219,0.397403,0.954219,0.602597,0.561118,0.651121,1.465503,0.056067
188,3856,185,5846,5015,0.538256,0.954219,0.397444,0.954219,0.602556,0.561158,0.651054,1.465654,0.056333
189,3855,186,5846,5015,0.538256,0.953972,0.397382,0.953972,0.602618,0.561054,0.650986,1.465425,0.0565
190,3854,187,5846,5015,0.538256,0.953724,0.39732,0.953724,0.60268,0.560949,0.650919,1.465196,0.056667
